src_file,tgt_file,Src_points,Tgt-points,noise_offest,noise_stdv,x_o,y_o,z_o,keypoint_method,Red,Green,Blue,Jetstatus,Stacked_height_threshold,min_scale_SIFT,nr_octaves_SIFT,nr_scales_per_octave_SIFT,min_contrast_SIFT,---,comp_time[s],keypoints_1_inOverlap,keypoints_2_inOverlap,Total_Keypoints_1,Total_Keypoints_2,keypoint_Overlap_cnt,keypoint_Overlaparea_fit_cnt,overlap_rate_1,overlap_rate_2,total_overlap_rate_1,total_overlap_rate_2,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,sbin0,sbin1,sbin2,sbin3,sbin4,sbin5,sbin6,sbin7,sbin8,sbin9,area
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,40,0.25,6,9,0.3,___,6,4676,6223,4680,6224,5426,5164,1.10436,0.829825,1.1594,0.871787,2610,8,8,14,16,14,45,85,1239,2184,2610,2618,2626,2640,2656,2670,2715,2800,4039,6223,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,40,0.99,6,8,0.7,___,2,485,538,485,540,352,352,0.725773,0.654275,0.725773,0.651852,251,7,12,8,16,4,7,13,45,175,251,258,270,278,294,298,305,318,363,538,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,40,0.99,6,8,0.3,___,2,1137,1203,1137,1203,682,682,0.599824,0.566916,0.599824,0.566916,498,3,11,25,6,12,15,25,124,484,498,501,512,537,543,555,570,595,719,1203,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,40,0.99,6,9,0.7,___,3,538,589,539,589,454,448,0.832714,0.760611,0.842301,0.770798,282,6,4,25,5,12,16,18,35,186,282,288,292,317,322,334,350,368,403,589,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,40,0.99,6,9,0.3,___,3,1306,1483,1307,1483,998,998,0.764165,0.67296,0.763581,0.67296,649,9,17,17,18,7,25,44,168,529,649,658,675,692,710,717,742,786,954,1483,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,50,0.25,6,8,0.7,___,6,386,564,386,564,275,275,0.712435,0.487589,0.712435,0.487589,196,6,11,23,5,8,9,11,48,247,196,202,213,236,241,249,258,269,317,564,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,50,0.25,6,8,0.3,___,6,3042,4023,3042,4023,2996,2794,0.918475,0.694507,0.984878,0.744718,1611,5,6,21,11,18,18,65,688,1580,1611,1616,1622,1643,1654,1672,1690,1755,2443,4023,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,50,0.25,6,9,0.7,___,6,408,517,408,517,334,334,0.818627,0.646035,0.818627,0.646035,188,5,10,16,7,6,4,19,52,210,188,193,203,219,226,232,236,255,307,517,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,50,0.25,6,9,0.3,___,6,3153,4113,3153,4113,3460,3356,1.06438,0.815949,1.09737,0.841235,1795,8,16,23,11,15,45,92,764,1344,1795,1803,1819,1842,1853,1868,1913,2005,2769,4113,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,50,0.99,6,8,0.7,___,3,321,311,322,312,194,194,0.604361,0.623794,0.602484,0.621795,144,0,10,11,7,5,2,10,18,104,144,144,154,165,172,177,179,189,207,311,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,50,0.99,6,8,0.3,___,3,869,988,870,989,573,569,0.654776,0.575911,0.658621,0.579373,418,2,13,11,3,7,11,33,125,365,418,420,433,444,447,454,465,498,623,988,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,50,0.99,6,9,0.7,___,2,335,363,336,364,256,253,0.755224,0.69697,0.761905,0.703297,161,3,2,10,11,8,9,20,23,116,161,164,166,176,187,195,204,224,247,363,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,50,0.99,6,9,0.3,___,3,983,1106,984,1108,694,694,0.706002,0.627486,0.705285,0.626354,479,7,19,12,22,6,11,27,116,407,479,486,505,517,539,545,556,583,699,1106,21979.1
